audit,strategy,model,metric,value,ci_low,ci_high,n
benefits_denial,unawareness,logistic_regression,accuracy,0.8003992015968064,0.7910294795025334,0.810379241516966,6513
benefits_denial,unawareness,logistic_regression,auc,0.7961401952085183,,,6513
benefits_denial,unawareness,logistic_regression,f1,0.44539249146757687,0.41966712812410145,0.47015584008433653,6513
benefits_denial,unawareness,random_forest,accuracy,0.833256563795486,0.8243512974051896,0.8418547520343928,6513
benefits_denial,unawareness,random_forest,auc,0.8764840541879036,,,6513
benefits_denial,unawareness,random_forest,f1,0.6257753273604412,0.6045825108029577,0.6462267435749198,6513
benefits_denial,unawareness,gradient_boosting,accuracy,0.8592046675879011,0.8512206356517734,0.8676493167511131,6513
benefits_denial,unawareness,gradient_boosting,auc,0.9095159638678525,,,6513
benefits_denial,unawareness,gradient_boosting,f1,0.6629915472252847,0.6425039786333051,0.68355405455775,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,accuracy,0.8109933978197451,0.8020881314294488,0.8203669583909105,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,auc,0.7721351318586079,,,6513
benefits_denial,unawareness_proxy_removal,logistic_regression,f1,0.4329801934592354,0.4062051978275174,0.4588946496370057,6513
benefits_denial,unawareness_proxy_removal,random_forest,accuracy,0.8314140948871488,0.8225088284968525,0.8403193612774451,6513
benefits_denial,unawareness_proxy_removal,random_forest,auc,0.8115333721961993,,,6513
benefits_denial,unawareness_proxy_removal,random_forest,f1,0.49771271729185734,0.4709100128122673,0.5230927157095381,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,accuracy,0.831874712114233,0.8231229847996315,0.8412405957316137,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,auc,0.8085474660035905,,,6513
benefits_denial,unawareness_proxy_removal,gradient_boosting,f1,0.4997715851987209,0.473096411553503,0.5247808389967241,6513
benefits_denial,in_processing,logistic_regression,accuracy,0.7842775986488562,0.7742975587286964,0.7941040994933211,6513
benefits_denial,in_processing,logistic_regression,auc,0.6486214430160335,,,6513
benefits_denial,in_processing,logistic_regression,f1,0.2798564838544336,0.2521720862257947,0.30579021906857384,6513
benefits_denial,in_processing,random_forest,accuracy,0.8137571011822509,0.8043912175648703,0.8234300629510211,6513
benefits_denial,in_processing,random_forest,auc,0.6410110062730855,,,6513
benefits_denial,in_processing,random_forest,f1,0.43972286374133945,0.41414518721701404,0.46539896359027655,6513
benefits_denial,in_processing,gradient_boosting,accuracy,0.8014739751266697,0.7919545524335944,0.8116113925994165,6513
benefits_denial,in_processing,gradient_boosting,auc,0.6347301180330576,,,6513
benefits_denial,in_processing,gradient_boosting,f1,0.37141468157510943,0.34516081221283534,0.3984674329501916,6513
benefits_denial,post_processing,logistic_regression,accuracy,0.8027022877322278,0.7933325656379548,0.8122217104253032,6513
benefits_denial,post_processing,logistic_regression,auc,,,,6513
benefits_denial,post_processing,logistic_regression,f1,0.44251626898047725,0.41644947553504785,0.4681573285378107,6513
benefits_denial,post_processing,random_forest,accuracy,0.8189774297558728,0.8100721633655765,0.8283433133732535,6513
benefits_denial,post_processing,random_forest,auc,,,,6513
benefits_denial,post_processing,random_forest,f1,0.4835742444152431,0.4576039057490884,0.5085358007158693,6513
benefits_denial,post_processing,gradient_boosting,accuracy,0.8198986642100414,0.8111469368954399,0.8294180869031168,6513
benefits_denial,post_processing,gradient_boosting,auc,,,,6513
benefits_denial,post_processing,gradient_boosting,f1,0.4718595227375057,0.44475487229149013,0.49734886205575823,6513
compas,baseline,logistic_regression,accuracy,0.6539408866995073,0.6370073891625616,0.6702586206896551,3248
compas,baseline,logistic_regression,auc,0.6828040045781844,,,3248
compas,baseline,logistic_regression,f1,0.6395125080179601,0.6198945981554678,0.6594871950994188,3248
compas,baseline,random_forest,accuracy,0.6517857142857143,0.6348522167487685,0.6684113300492611,3248
compas,baseline,random_forest,auc,0.6920978710681224,,,3248
compas,baseline,random_forest,f1,0.6307541625857004,0.6101678449108633,0.6512554278297085,3248
compas,baseline,gradient_boosting,accuracy,0.6564039408866995,0.6394704433497537,0.6724137931034483,3248
compas,baseline,gradient_boosting,auc,0.6952607032197738,,,3248
compas,baseline,gradient_boosting,f1,0.6376623376623376,0.6170556020369474,0.6574110676867568,3248
compas,unawareness,logistic_regression,accuracy,0.5726600985221675,0.5566425492610837,0.5899014778325123,3248
compas,unawareness,logistic_regression,auc,0.6080828567565355,,,3248
compas,unawareness,logistic_regression,f1,0.571604938271605,0.5511941855267296,0.5921616656460501,3248
compas,unawareness,random_forest,accuracy,0.582820197044335,0.5668103448275862,0.6000615763546798,3248
compas,unawareness,random_forest,auc,0.6198836790776597,,,3248
compas,unawareness,random_forest,f1,0.6073601854534917,0.5878859930101755,0.6265486529323951,3248
compas,unawareness,gradient_boosting,accuracy,0.583743842364532,0.5680418719211823,0.6009852216748769,3248
compas,unawareness,gradient_boosting,auc,0.6221876255715588,,,3248
compas,unawareness,gradient_boosting,f1,0.6058309037900874,0.5869112924263576,0.625109877583073,3248
compas,unawareness_proxy_removal,logistic_regression,accuracy,0.5766625615763546,0.5597290640394089,0.5926878078817733,3248
compas,unawareness_proxy_removal,logistic_regression,auc,0.6009322051651212,,,3248
compas,unawareness_proxy_removal,logistic_regression,f1,0.661912957954266,0.6450597515260355,0.678529565829698,3248
compas,unawareness_proxy_removal,random_forest,accuracy,0.5809729064039408,0.5643472906403941,0.5979064039408867,3248
compas,unawareness_proxy_removal,random_forest,auc,0.6088788971222568,,,3248
compas,unawareness_proxy_removal,random_forest,f1,0.6625340937267543,0.6456265465982781,0.6789821109933553,3248
compas,unawareness_proxy_removal,gradient_boosting,accuracy,0.5812807881773399,0.5646474753694581,0.5979064039408867,3248
compas,unawareness_proxy_removal,gradient_boosting,auc,0.6094178431114894,,,3248
compas,unawareness_proxy_removal,gradient_boosting,f1,0.6626984126984127,0.6456305770419788,0.6791034061868207,3248
compas,in_processing,logistic_regression,accuracy,0.5384852216748769,0.521551724137931,0.5551108374384236,3248
compas,in_processing,logistic_regression,auc,0.590709180554524,,,3248
compas,in_processing,logistic_regression,f1,0.3095347766006449,0.28466083854910346,0.3337978507394308,3248
compas,in_processing,random_forest,accuracy,0.5375615763546798,0.520935960591133,0.5541871921182266,3248
compas,in_processing,random_forest,auc,0.5951393927621267,,,3248
compas,in_processing,random_forest,f1,0.2715809893307468,0.2463173220416526,0.2961600694434237,3248
compas,in_processing,gradient_boosting,accuracy,0.5375615763546798,0.520935960591133,0.5541871921182266,3248
compas,in_processing,gradient_boosting,auc,0.5951393927621267,,,3248
compas,in_processing,gradient_boosting,f1,0.2715809893307468,0.2463173220416526,0.2961600694434237,3248
compas,post_processing,logistic_regression,accuracy,0.5668103448275862,0.5498768472906403,0.582820197044335,3248
compas,post_processing,logistic_regression,auc,,,,3248
compas,post_processing,logistic_regression,f1,0.6317717874901858,0.613719708395635,0.6487203913491246,3248
compas,post_processing,random_forest,accuracy,0.5708128078817734,0.5544950738916257,0.5871305418719212,3248
compas,post_processing,random_forest,auc,,,,3248
compas,post_processing,random_forest,f1,0.6314119513484929,0.6129707998733559,0.6489005109466385,3248
compas,post_processing,gradient_boosting,accuracy,0.5708128078817734,0.5544950738916257,0.5871305418719212,3248
compas,post_processing,gradient_boosting,auc,,,,3248
compas,post_processing,gradient_boosting,f1,0.6314119513484929,0.6129707998733559,0.6489005109466385,3248
german_credit_lending,baseline,logistic_regression,accuracy,0.69,0.62,0.75,200
german_credit_lending,baseline,logistic_regression,auc,0.733452380952381,,,200
german_credit_lending,baseline,logistic_regression,f1,0.7919463087248322,0.7368421052631579,0.8380952380952381,200
german_credit_lending,baseline,random_forest,accuracy,0.75,0.69,0.805,200
german_credit_lending,baseline,random_forest,auc,0.7945833333333334,,,200
german_credit_lending,baseline,random_forest,f1,0.8366013071895425,0.7891156462585034,0.8774274446354535,200
german_credit_lending,baseline,gradient_boosting,accuracy,0.77,0.71,0.825,200
german_credit_lending,baseline,gradient_boosting,auc,0.7736904761904762,,,200
german_credit_lending,baseline,gradient_boosting,f1,0.8456375838926175,0.7973421926910299,0.8861538461538462,200
german_credit_lending,unawareness,logistic_regression,accuracy,0.675,0.605,0.74,200
german_credit_lending,unawareness,logistic_regression,auc,0.7435714285714287,,,200
german_credit_lending,unawareness,logistic_regression,f1,0.7796610169491526,0.7234042553191489,0.8289473684210527,200
german_credit_lending,unawareness,random_forest,accuracy,0.75,0.685,0.805,200
german_credit_lending,unawareness,random_forest,auc,0.7894047619047619,,,200
german_credit_lending,unawareness,random_forest,f1,0.8376623376623377,0.7903780068728522,0.877303582030477,200
german_credit_lending,unawareness,gradient_boosting,accuracy,0.765,0.705,0.825,200
german_credit_lending,unawareness,gradient_boosting,auc,0.7722619047619047,,,200
german_credit_lending,unawareness,gradient_boosting,f1,0.8395904436860069,0.7918053185437997,0.8827217267434657,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,accuracy,0.7,0.63,0.765,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,auc,0.7485714285714287,,,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,f1,0.7959183673469388,0.7407407407407408,0.8441558441558441,200
german_credit_lending,unawareness_proxy_removal,random_forest,accuracy,0.75,0.685,0.805,200
german_credit_lending,unawareness_proxy_removal,random_forest,auc,0.7901785714285714,,,200
german_credit_lending,unawareness_proxy_removal,random_forest,f1,0.8322147651006712,0.782305275051197,0.8721311475409836,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,accuracy,0.76,0.7,0.815,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,auc,0.7666666666666668,,,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,f1,0.8378378378378378,0.7903780068728523,0.8810344654340837,200
german_credit_lending,in_processing,logistic_regression,accuracy,0.715,0.65,0.775,200
german_credit_lending,in_processing,logistic_regression,auc,0.6098214285714285,,,200
german_credit_lending,in_processing,logistic_regression,f1,0.8131147540983606,0.7612381018955413,0.8580246913580246,200
german_credit_lending,in_processing,random_forest,accuracy,0.725,0.655,0.78,200
german_credit_lending,in_processing,random_forest,auc,0.6478571428571428,,,200
german_credit_lending,in_processing,random_forest,f1,0.8172757475083056,0.7635069477604814,0.8598726114649682,200
german_credit_lending,in_processing,gradient_boosting,accuracy,0.755,0.695,0.81,200
german_credit_lending,in_processing,gradient_boosting,auc,0.7070238095238095,,,200
german_credit_lending,in_processing,gradient_boosting,f1,0.8350168350168351,0.7876712328767124,0.8775594396174311,200
german_credit_lending,post_processing,logistic_regression,accuracy,0.72,0.655,0.78,200
german_credit_lending,post_processing,logistic_regression,auc,,,,200
german_credit_lending,post_processing,logistic_regression,f1,0.8145695364238411,0.764505119453925,0.8599554694264625,200
german_credit_lending,post_processing,random_forest,accuracy,0.755,0.695,0.815,200
german_credit_lending,post_processing,random_forest,auc,,,,200
german_credit_lending,post_processing,random_forest,f1,0.832764505119454,0.7834911691840485,0.8766233766233766,200
german_credit_lending,post_processing,gradient_boosting,accuracy,0.765,0.7,0.825,200
german_credit_lending,post_processing,gradient_boosting,auc,,,,200
german_credit_lending,post_processing,gradient_boosting,f1,0.8395904436860069,0.7902054351342608,0.8831168831168831,200
healthcare_readmission,baseline,logistic_regression,accuracy,0.8875320367857681,0.8831084476606864,0.8918551183476557,19899
healthcare_readmission,baseline,logistic_regression,auc,0.616714917869906,,,19899
healthcare_readmission,baseline,logistic_regression,f1,0.031168831168831172,0.021276143436097846,0.041537848629955326,19899
healthcare_readmission,baseline,random_forest,accuracy,0.8877833056937534,0.8834099703502688,0.8921063872556411,19899
healthcare_readmission,baseline,random_forest,auc,0.6462148039675032,,,19899
healthcare_readmission,baseline,random_forest,f1,0.01586602027324813,0.008876267586016819,0.02326671123575019,19899
healthcare_readmission,baseline,gradient_boosting,accuracy,0.8879340670385446,0.88356073169506,0.8922558922558923,19899
healthcare_readmission,baseline,gradient_boosting,auc,0.6703933699932672,,,19899
healthcare_readmission,baseline,gradient_boosting,f1,0.02534965034965035,0.017023550575939152,0.03482826017507738,19899
healthcare_readmission,unawareness,logistic_regression,accuracy,0.8875822905673652,0.8831097040052264,0.8919041157847128,19899
healthcare_readmission,unawareness,logistic_regression,auc,0.6288475636162024,,,19899
healthcare_readmission,unawareness,logistic_regression,f1,0.03285776048421963,0.023115535830460457,0.04326815025569396,19899
healthcare_readmission,unawareness,random_forest,accuracy,0.8879843208201417,0.8835619880396,0.8923563998190864,19899
healthcare_readmission,unawareness,random_forest,auc,0.6435738266215382,,,19899
healthcare_readmission,unawareness,random_forest,f1,0.018494055482166448,0.01092527948389378,0.026484320731928634,19899
healthcare_readmission,unawareness,gradient_boosting,accuracy,0.8879843208201417,0.8836109854766571,0.8922558922558923,19899
healthcare_readmission,unawareness,gradient_boosting,auc,0.6689115618160629,,,19899
healthcare_readmission,unawareness,gradient_boosting,f1,0.0270624181580096,0.0180331039498064,0.03679437107721683,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,accuracy,0.887481783004171,0.8831084476606864,0.8918036082215187,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,auc,0.5777038390557783,,,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,f1,0.00267260579064588,0.0,0.00612216125575983,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,accuracy,0.887431529222574,0.8830594502236293,0.8917031006583246,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,auc,0.57206958511905,,,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,f1,0.0035587188612099642,0.0008699339977684059,0.00720753244218948,19899
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,accuracy,0.8875320367857681,0.8831599577868234,0.8918048645660587,19899
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,auc,0.6048676742953825,,,19899
